Age,primaryStreamingService,hoursPerDay,whileWorking,favGenre,Anxiety,Depression,Insomnia,OCD,musicEffects
35,Other streaming service,0.5,No,Pop,10,3,1,0,noEffect
21,I do not use a streaming service.,2,Yes,Rock,8,8,3,0,Improve
25,Apple Music,2.5,Yes,R&B,7,6,5,4,Improve
18,Spotify,2,Yes,K pop,7,2,3,5,Improve
16,Apple Music,2,No,Pop,10,3.5,5,10,Improve
19,Spotify,1,Yes,Pop,7,5,1,2,Improve
31,Spotify,4,Yes,Classical,6,8,9,5,Improve
26,Spotify,5,Yes,Rock,2,9,2,1,noEffect
16,Spotify,2,Yes,Rock,7,4,10,2,Improve
26,Spotify,2,Yes,Rock,7,5,6,0,Improve
17,Spotify,2,Yes,R&B,6,1,0,0,Improve
22,Spotify,1,Yes,Video game music,3,6,1,1,Improve
20,Apple Music,4,Yes,R&B,9,10,3,0,Improve
30,Spotify,1,No,Rock,8,5,8,9,Improve
26,Other streaming service,4,Yes,Pop,8,7,7,3,Improve
19,Spotify,5,Yes,Rock,9,9,9,3,noEffect
33,Spotify,7,Yes,Rock,9,3,7,8,Improve
28,YouTube Music,2,Yes,Rock,10,8,6,2,Improve
25,Spotify,3,Yes,Rock,9,6,3,0,Improve
22,YouTube Music,2,Yes,Pop,7,7,8,3,Improve
19,Spotify,3,Yes,Rock,9,10,4,0,Improve
44,Other streaming service,3,Yes,Folk,9,9,8,2,Improve
22,Spotify,3,Yes,Rock,9,10,3,9,Improve
26,Spotify,5,Yes,Metal,10,9,8,8,Improve
23,I do not use a streaming service.,6,Yes,Classical,6,5,6,8,Improve
17,Spotify,2,No,R&B,8,6,10,3,Improve
42,YouTube Music,2,No,Metal,8,3,6,4,Improve
30,Spotify,1,No,Rock,4,2,1,3,Improve
35,Spotify,1,Yes,Pop,2,1,1,1,noEffect
20,Spotify,3,No,Rock,10,10,7,3,Improve
18,Spotify,3,Yes,Rap,8,9,0,0,Improve
21,Spotify,1,No,Pop,4,9,6,2,noEffect
19,Spotify,6,Yes,Rock,4,2,0,0,Improve
